index,acc1,acc2,acc3,gro1,gro2,gro3,mag1,mag2,mag3,label
439,882,113,-500,-1,1,0,5483,2353,-3289,still
440,882,112,-499,-1,1,0,5483,2353,-3289,still
441,882,113,-499,-1,1,1,5483,2353,-3289,still
442,882,113,-499,-1,1,1,5483,2353,-3289,still
443,882,113,-498,-1,1,1,5483,2353,-3289,still
444,882,113,-498,-1,2,0,5483,2353,-3289,still
445,882,113,-498,-1,2,0,5483,2353,-3289,still
446,881,113,-497,-1,2,0,5483,2353,-3289,still
447,882,113,-498,-1,2,0,5483,2353,-3289,still
448,882,113,-498,-1,2,0,5483,2353,-3289,still
449,882,113,-498,-1,2,1,5377,2600,-3426,still
450,882,113,-499,-1,2,1,5377,2600,-3426,still
451,883,113,-499,-1,2,1,5377,2600,-3426,still
452,883,113,-499,-1,2,1,5377,2600,-3426,still
453,883,113,-499,-1,2,1,5377,2600,-3426,still
454,883,113,-499,-1,2,1,5377,2600,-3426,still
455,883,113,-499,-1,2,0,5377,2600,-3426,still
456,883,113,-498,-1,2,0,5377,2600,-3426,still
457,883,114,-498,-1,2,0,5377,2600,-3426,still
458,883,114,-497,-1,2,1,5377,2600,-3426,still
459,883,114,-497,-1,2,1,5377,2600,-3426,still
460,883,113,-496,-1,2,0,5465,2441,-3426,still
461,883,113,-496,-1,2,0,5465,2441,-3341,still
462,883,113,-496,-1,2,0,5465,2441,-3341,still
463,883,113,-496,-1,2,0,5465,2441,-3341,still
464,883,113,-497,-1,2,0,5465,2441,-3341,still
465,883,113,-497,-1,2,0,5465,2441,-3341,still
466,884,113,-498,-1,2,0,5465,2441,-3341,still
467,884,113,-498,-1,2,0,5465,2441,-3341,still
468,884,113,-498,-1,2,0,5465,2441,-3341,still
469,884,113,-497,-1,2,0,5465,2441,-3341,still
470,885,114,-497,-1,2,0,5465,2441,-3341,still
471,886,114,-496,-1,2,0,5465,2441,-3341,still
472,886,114,-496,-1,2,0,5412,2423,-3324,still
473,886,114,-496,-1,2,0,5412,2423,-3324,still
474,886,114,-495,-1,2,0,5412,2423,-3324,still
475,886,114,-496,-1,2,0,5412,2423,-3324,still
476,886,114,-496,-1,2,0,5412,2423,-3324,still
477,886,114,-497,-1,2,0,5412,2423,-3324,still
478,886,114,-497,-1,2,0,5412,2423,-3324,still
479,886,113,-497,-1,2,0,5412,2423,-3324,still
480,887,113,-496,-1,2,0,5412,2423,-3324,still
481,887,113,-496,-1,2,0,5412,2423,-3324,still
482,887,113,-496,-1,2,0,5412,2423,-3324,still
483,887,113,-496,-1,2,0,5148,2689,-3409,still
484,887,112,-495,-1,2,1,5148,2689,-3409,still
485,887,112,-495,-1,2,1,5148,2689,-3409,still
486,887,113,-495,-1,2,0,5148,2689,-3409,still
487,887,113,-495,-1,2,0,5148,2689,-3409,still
488,887,112,-495,-1,2,0,5148,2689,-3409,still
489,887,112,-494,-1,2,0,5148,2689,-3409,still
490,887,113,-495,-1,2,0,5148,2689,-3409,still
491,886,112,-495,-1,1,0,5148,2689,-3409,still
492,886,112,-496,-1,1,0,5148,2689,-3409,still
493,886,112,-496,-1,1,0,5148,2689,-3409,still
